,id,title,director,actor,overview,popularity,vote_average,vote_count,runtime,genres_list,key,country,year
0,19995,Avatar,James Cameron,"Sam Worthington,Zoe Saldana,Sigourney Weaver,Stephen Lang,Michelle Rodriguez,Giovanni Ribisi,Joel David Moore,CCH Pounder,Wes Studi,Laz Alonso,Dileep Rao,Matt Gerald,Sean Anthony Moran,Jason Whyte,Scott Lawrence,Kelly Kilgour,James Patrick Pitt,Sean Patrick Murphy,Peter Dillon,Kevin Dorman,Kelson Henderson,David Van Horn,Jacob Tomuri,Michael Blain-Rozgay,Jon Curry,Luke Hawker,Woody Schultz,Peter Mensah,Sonia Yee,Jahnel Curfman,Ilram Choi,Kyla Warren,Lisa Roumain,Debra Wilson,Chris Mala,Taylor Kibby,Jodie Landau,Julie Lamm,Cullen B. Madden,Joseph Brady Madden,Frankie Torres,Austin Wilson,Sara Wilson,Tamica Washington-Miller,Lucy Briant,Nathan Meister,Gerry Blair,Matthew Chamberlain,Paul Yates,Wray Wilson,James Gaylyn,Melvin Leno Clark III,Carvon Futrell,Brandon Jelkes,Micah Moch,Hanniyah Muhammad,Christopher Nolen,Christa Oliver,April Marie Thomas,Bravita A. Threatt,Colin Bleasdale,Mike Bodnar,Matt Clayton,Nicole Dionne,Jamie Harrison,Allan Henry,Anthony Ingruber,Ashley Jeffery,Dean Knowsley,Joseph Mika-Hunt,Terry Notary,Kai Pantano,Logan Pithyou,Stuart Pollock,Raja,Gareth Ruck,Rhian Sheehan,T. J. Storm,Jodie Taylor,Alicia Vela-Bailey,Richard Whiteside,Nikie Zambo,Julene Renee","In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",150.437577,7.2,11800,162.0,"Action,Adventure,Fantasy,Science Fiction","culture clash,future,space war,space colony,society,space travel,futuristic,romance,space,alien,tribe,alien planet,cgi,marine,soldier,battle,love affair,anti war,power relations,mind and soul,3d","United States of America,United Kingdom",93.0
1,285,Pirates of the Caribbean: At World's End,Gore Verbinski,"Johnny Depp,Orlando Bloom,Keira Knightley,Stellan Skarsgård,Chow Yun-fat,Bill Nighy,Geoffrey Rush,Jack Davenport,Kevin McNally,Tom Hollander,Naomie Harris,Jonathan Pryce,Keith Richards,Lee Arenberg,Mackenzie Crook,Greg Ellis,David Bailie,Martin Klebba,David Schofield,Lauren Maher,Vanessa Branch,Angus Barnett,Giles New,Reggie Lee,Dominic Scott Kay,Takayo Fischer,David Meunier,Ho-Kwan Tse,Andy Beckwith,Peter Donald Badalamenti II,Christopher S. Capp,Keith Richards,Hakeem Kae-Kazim,Ghassan Massoud","Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",139.082615,6.9,4500,169.0,"Adventure,Fantasy,Action","ocean,drug abuse,exotic island,east india trading company,love of one's life,traitor,shipwreck,strong woman,ship,alliance,calypso,afterlife,fighter,pirate,swashbuckler,aftercreditsstinger",United States of America,91.0
2,206647,Spectre,Sam Mendes,"Daniel Craig,Christoph Waltz,Léa Seydoux,Ralph Fiennes,Monica Bellucci,Ben Whishaw,Naomie Harris,Dave Bautista,Andrew Scott,Rory Kinnear,Jesper Christensen,Alessandro Cremona,Stephanie Sigman,Tenoch Huerta,Adriana Paz,Domenico Fortunato,Marco Zingaro,Stefano Elfi DiClaudia,Ian Bonar,Tam Williams,Richard Banham,Pip Carter,Simon Lenagan,Alessandro Bressanello,Marc Zinga,Brigitte Millar,Adel Bencherif,Gediminas Adomaitis,Peppe Lanzetta,Francesco Arca,Matteo Taranto,Emilio Aniba,Benito Sagredo,Dai Tabuchi,George Lasha,Sargon Yelda,Andy Cheung,Erick Hayden,Oleg Mirochnikov,Antonio Salines,Miloud Mourad Benamara,Gido Schimanski,Nigel Barber,Patrice Naiambana,Stephane Cornicard,Gary Fannin,Sadao Ueda,Phillip Law,Wai Wong,Joseph Balderrama,Eiji Mihara,Junichi Kajioka,Victor Schefé,Harald Windisch,Tristan Matthiae,Detlef Bothe,Bodo Friesecke,Wilhem Iben,Noemi Krausz,Noah Saavedra,Francis Attakpah,Michael Glantschnig,Marlon Boess,Marie Wohlmuth,Lili Epply,Konstantin Gerlach,Lara Parmiani,Umit Ulgen,Amra Mallassi,Ziad Abaza,Walid Mumuni,Derek Horsham,Nari Blair-Mangat,Michael White,Adam McGrady,Nader Dernaika,Pezhmaan Alinia,Judi Dench,Neve Gachev,Karl Farrer,Kim Adis,Maurisa Selene Coleman,Matija Mondi Matović","A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",107.376788,6.3,4466,148.0,"Action,Adventure,Crime","spy,based on novel,secret agent,sequel,mi6,british secret service,united kingdom","United Kingdom,United States of America",99.0
3,49026,The Dark Knight Rises,Christopher Nolan,"Christian Bale,Michael Caine,Gary Oldman,Anne Hathaway,Tom Hardy,Marion Cotillard,Joseph Gordon-Levitt,Morgan Freeman,Cillian Murphy,Juno Temple,Liam Neeson,Matthew Modine,Alon Aboutboul,Ben Mendelsohn,Nestor Carbonell,Josh Pence,Tom Conti,Joey King,Warren Brown,Daniel Sunjata,Sam Kennard,Aliash Tepina,Nick Julian,Miranda Nolan,Claire Julien,Aidan Gillen,Burn Gorman,Brett Cullen,Reggie Lee,Joseph Lyle Taylor,Chris Ellis,Duane Henry,James Harvey Ward,Gonzalo Menendez,Cameron Jack,Lex Daniel,Tyler Dean Flores,Thomas Lennon,Trevor White,Rob Brown,Fredric Lehne,Courtney Munch,Chris Hill,Travis Guba,Jay Benedict,Will Estes,David Dayan Fisher,Glen Powell,Russ Fega,Andres Perez-Molina,Brent Briscoe,John Nolan,Oliver Cotton,Mark Killeen,Sarah Goldberg,John MacMillan,Robert Wisdom,Ronnie Gene Blevins,John Hollingworth,Ian Bohen,Uri Gavriel,Noel Gugliemi,Hector Atreyu Ruiz,Patrick Cox,Aramis Knight,Josh Stewart,William Devane,David Gyasi,Patrick Jordan,Joshua Elijah Reese,Desmond Harrington,Mychael Bates,Tomas Arana,Peter Holden,David Monahan,Jillian Armenante,Aja Evans,Aldous Davidson,Wade Williams,Jake Canuso,Massi Furlan,Christopher Judge,Patrick Leahy,Todd Gearhart,Marc Abbink,Isiah Adams,Charlie Alejandro,Robert Arensen,Grant Babbitt,Fileena Bahris,Rick Bolander,Kyle Patrick Brennan,Scott Churchson,Bill Cowher,Graham Curry,Stephanie Domini Ehlert,John Farrer,Frank Fata,Christopher Bryan Gomez,Vito Grassi,Michael Wren Gucciardo,Sam Harris,Ed Heavey,John W. Iwanonkiw,Cindy Jackson,Daniel Jordano,William Kania,Tiffany Kemp,Sun Jae Kim,Hrvoje Klecz,Alex Kruz,Tyler La Marr,LeJon,Paul Jude Letersky,Joe Lipari,Silvia Lombardo,Jorge Mardel,Cale McConnell,David Dale McCue,Tiffany Sander McKenzie,Allen Merritt,Olan Montgomery,Alex Moore,Shane Nolan,Jackson Nunn,Joseph O'Brien,Michael Papajohn,Salomon Passariello,Kyle David Pierce,Troy Polamalu,Michael Power,James Rawlings,Kirsten Roeters,Ben Roethlisberger,Mark Roman,Anthony J. Sacco,Eric Salazar,Emily Schooley,Thomas Tull,Chris Vaina,Vincent van Ommen,Michelle Vezzani,Barbara Vincent,Justin Michael Woods,Jason Yee,Maria Zambrana,John Zion,Alex Ziwak,Tommy Bayiokos,Matthew Gooley,Jeff Moffitt,Mark Falvo,Diogo Hausen,Gary Sievers,Orion McCabe,London May,James Quinn,Daniel Newman","Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",112.31295,7.6,9106,165.0,"Action,Crime,Drama,Thriller","dc comics,crime fighter,terrorist,secret identity,burglar,hostage drama,time bomb,gotham city,vigilante,cover-up,superhero,villainess,tragic hero,terrorism,destruction,catwoman,cat burglar,imax,flood,criminal underworld,batman",United States of America,96.0
4,49529,John Carter,Andrew Stanton,"Taylor Kitsch,Lynn Collins,Samantha Morton,Willem Dafoe,Thomas Haden Church,Mark Strong,Ciarán Hinds,Dominic West,James Purefoy,Bryan Cranston,Polly Walker,Daryl Sabara,Arkie Reece,Davood Ghadami,Pippa Nixon,James Embree,Philip Philmar,Emily Tierney,Edmund Kente,Nicholas Woodeson,Kyle Agnew,Don Stark,Josh Daugherty,Jared Cyr,Christopher Goodman,Amanda Clayton,Joseph Billingiere","John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",43.926995,6.1,2124,132.0,"Action,Adventure,Science Fiction","based on novel,mars,medallion,space travel,princess,alien,steampunk,martian,escape,edgar rice burroughs,alien race,superhuman strength,mars civilization,sword and planet,19th century,3d",United States of America,96.0
5,559,Spider-Man 3,Sam Raimi,"Tobey Maguire,Kirsten Dunst,James Franco,Thomas Haden Church,Topher Grace,Bryce Dallas Howard,Rosemary Harris,James Cromwell,J.K. Simmons,Theresa Russell,Dylan Baker,Bill Nunn,Elizabeth Banks,Ted Raimi,Perla Haney-Jardine,Willem Dafoe,Cliff Robertson,Elya Baskin,Mageina Tovah,Michael Papajohn,Joe Manganiello,Stan Lee,Bruce Campbell,Christopher Young,Grant Curtis,Daniel Gillies,John Paxton,Becky Ann Baker,Steve Valentine,Hal Fishman,Lucy Gordon,Toni Wynne,Andre B. Blake,Tim Maculan,Marc Vann,Joe Bays,Gregg Daniel,Rogelio T. Ramos,Timothy Patrick Quill,Kathryn Bryding,Joe Virzi,Bill E. Rogers,Michael Alexander,April Parker-Jones,Edward Padilla,Robert Curtis Brown,Paul Terrell Clayton,Carolyn Neff,Christina Cindrich,Sonya Maddox,Derrick 'Phoenix' Thomas,Jessi Collins,Michael McLaughlin,Anne Gartlan,Emilio Rivera,Keith Woulard,Reynaldo Gallegos,Jim Coope,Dean Edwards,Margaret Laney,Aimee Miles,Tanya Bond,Mark Kubr,Tony Besson,Ramon Adams,A.J. Adelman,Angelis Alexandris,Dawn Marie Anderson,Frank Anello,Anya Avaeva,David Backus,Tiffany L. Baker,Marc C. Cancassi,Sujeilee Candele,Michael Ciesla,Irina Costa,John Crann,Crystal Marie Denha,Amy V. Dewhurst,Paul Edney,Natalie Fabry,Keith Fausnaught,Amanda Florian,Brianna Leann Florian,Tiffany Ashley Florian,Shaun Patrick Flynn,Logan Fry,Kevin Fung,Tony Galtieri,Chuck Gerena,Brian Hopson,Claude Jay,Julie Jei,Andrew James Jones,Natalie Jones,Christopher Jude,Brittany Krall,Alyssa Lakota,Tia Latrell,Linda Lee,Pierangeli Llinas,Bernadette Lords,Sandrine Marlier,Laura McDavid,Natalie McNeil,Daniel Mignault,Martha Millan,Michele-Nanette Miller,Claudia Katz Minnick,Robert Myers,Joseph O'Brien,Jen Oda,Anjelia Pelay,Nick Poltoranin,Vanessa Reseland,La Rivers,Bria Roberts,Luis Rosa,Vanessa Ross,Brenna Roth,Shade Rupe,Arick Salmea,Eric Shackelford,Daniel Shafer,Abbey Skinner,Kristin Somo,Jennifer Sparks,Christopher Stadulis,Jimmy Star,Arne Starr,Liam Stone,Tajna Tanovic,Aija Terauda,Brigid Turner,Evelyn Vaccaro,Nick Vlassopoulos,Sincerely A. Ward,Silq Webster,Graig F. Weich,Fredrick Weiss,Jennifer Weston,Trenton Willey,Ray Wineteer","The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",115.699814,5.9,3576,139.0,"Fantasy,Action,Adventure","dual identity,amnesia,sandstorm,love of one's life,forgiveness,spider,wretch,death of a friend,egomania,sand,narcism,hostility,marvel comic,sequel,superhero,revenge",United States of America,91.0
6,38757,Tangled,"Byron Howard,Nathan Greno","Zachary Levi,Mandy Moore,Donna Murphy,Ron Perlman,M.C. Gainey,Jeffrey Tambor,Brad Garrett,Paul F. Tompkins,Richard Kiel,Delaney Rose Stein,Nathan Greno,Byron Howard,Tim Mertens","When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",48.681969,7.4,3330,100.0,"Animation,Family","hostage,magic,horse,fairy tale,musical,princess,animation,tower,blonde woman,selfishness,healing power,based on fairy tale,duringcreditsstinger,healing gift,animal sidekick",United States of America,94.0
7,99861,Avengers: Age of Ultron,Joss Whedon,"Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Chris Evans,Scarlett Johansson,Jeremy Renner,James Spader,Samuel L. Jackson,Don Cheadle,Aaron Taylor-Johnson,Elizabeth Olsen,Paul Bettany,Cobie Smulders,Anthony Mackie,Hayley Atwell,Idris Elba,Linda Cardellini,Stellan Skarsgård,Claudia Kim,Thomas Kretschmann,Andy Serkis,Julie Delpy,Stan Lee,Henry Goodman,Chris Luca,Brian Schaeffer,Dominique Provost-Chalkley,Isaac Andrews,Gareth Kieran Jones,Chan Woo Lim,Minhee Yeo,Bentley Kalu,Julian Bleach,Christopher Beasley,Vuyo Dabula,Nondumiso Tembe,Kabelo Thai,Lele Leowaba,Mandla Gaduka,Harriet Manamela,Beulah Hashe,Musca Kumalo,Mathapelo September,Antony Acheampong,Chioma Anyanwu,Ben Sakamoto,Imogen Poynton,Isabella Poynton,Ingvild Deila,Sunny Yeo,Namju Go,Mina Kweon,Earl T. Kim,Arthur Lee,Verity Hewlett,Michael Matovski,Alma Noce,Riccardo Richetta,Constanza Ruff,Monty Mclaren-Clark,Julia Krynke,Tony Christensen,Ian Kay,Barry Aird,Aaron Himelstein,Kerry Condon,Jaiden Stafford,Dilyana Bouklieva,Josh Brolin,Joti Nagra,Nick W. Nicholson,Daniel Westwood","When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",134.279229,7.3,6767,141.0,"Action,Adventure,Science Fiction","marvel comic,sequel,superhero,based on comic book,vision,superhero team,duringcreditsstinger,marvel cinematic universe,3d",United States of America,99.0
8,767,Harry Potter and the Half-Blood Prince,David Yates,"Daniel Radcliffe,Rupert Grint,Emma Watson,Tom Felton,Michael Gambon,Jim Broadbent,Helena Bonham Carter,Robbie Coltrane,Maggie Smith,Alan Rickman,Timothy Spall,David Thewlis,Julie Walters,Matthew Lewis,Evanna Lynch,Bonnie Wright,Oliver Phelps,James Phelps,Mark Williams,Warwick Davis,Natalia Tena,Katie Leung,Dave Legeno,Geraldine Somerville,Helen McCrory,Freddie Stroma,David Bradley,Frank Dillane,Hero Fiennes-Tiffin,Gemma Jones,Afshan Azad,Shefali Chowdhury,Georgina Leonidas,Devon Murray,Anna Shaffer,Josh Herdman,Jamie Waylett,Scarlett Byrne,Jessie Cave,Louis Cordice,Alfie Enoch,Robert Knox,William Melling,Paul Ritter,Isabella Laughland,Ralph Ineson,Suzanne Toase,Rod Hunt,Elarica Gallacher","As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",98.885637,7.4,5293,153.0,"Adventure,Fantasy,Family","witch,magic,broom,school of witchcraft,wizardry,apparition,teenage crush,werewolf","United Kingdom,United States of America",93.0
9,209112,Batman v Superman: Dawn of Justice,Zack Snyder,"Ben Affleck,Henry Cavill,Gal Gadot,Amy Adams,Jesse Eisenberg,Diane Lane,Jeremy Irons,Laurence Fishburne,Holly Hunter,Scoot McNairy,Callan Mulvey,Tao Okamoto,Jena Malone,Brandon Spink,Lauren Cohan,Hugh Maguire,Michael Cassidy,Alan D. Purwin,Dan Amboyer,Rebecca Buller,Harry Lennix,Christina Wren,Jade Chynoweth,Chad Krowchuk,Kevin Costner,Ezra Miller,Patrick Wilson,Michael Shannon,Charlie Rose,Vikram Gandhi,Andrew Sullivan,Neil deGrasse Tyson,Jon Stewart,Soledad O'Brien,Erika R. Erickson,Dana Bash,Nancy Grace,Anderson Cooper,Brooke Baldwin,Carla Gugino,Jason Momoa,Joe Morton,Ray Fisher,Joseph Cranford,Emily Peterson,Jeffrey Dean Morgan,Sammi Rotibi,Hanna Dworkin,Tiffany L. Addison,Owais Ahmed,Anish Jethmalani,Tiffany Bedwell,Natalee Arteaga,Keith D. Gallagher,Jeff Dumas,Miriam Lee,Alicia Regan,Stephanie Koenig,Ripley Sobo,Richard Burden,Julius Tennon,Wunmi Mosaku,Dennis North,Kiff VandenHeuvel,Mason Heidger,Ahney Her,Kristine Cabanban,Sebastian Sozzi,Kent Shocknek,Ralph Lister,Sammy A. Publes,Jay R. Adams,David Midura,Jay Towers,Michael Ellison,Kirill Ostapenko,Rashontae Wawrzyniak,Tom Luginbill,Dave Pasch,Danny Mooney ,Henry Frost III,Nicole Forester,Debbie Stabenow,Milica Govich ,John Lepard,Sandra Love Aldridge,Graham W.J. Beal,Henri Franklin,Jonathan West,T.J. Martinelli,Chris Newman,Lulu Dahl,Sam Logan Khaleghi,Anne Marie Damman,Connie Craig,Henrietta Hermelin,Patrick Leahy,Albert Valladares,David Paris,Abigail Kuklis,Greg Violand,Tiren Jhames,Steve Jasgur,Jonathan Stanley,Jesse Nagy,Duvale Murchison,Thomas J. Fentress,Coburn Goss,Jeff Hanlin,Gary A. Hecker,Robin Atkin Downes,Issac Ryan Brown,Barton Bund,Bailey Chase,Patrick O'Connor Cronin,Sonja Crosby,C.T. Fletcher,Ahman Green,Diana Gaitirira,Jalene Mack,Esodie Geiger,Nene Nwoko,Scott Edward Logan,Marcus Goddard,Cruz Gonzalez-Cadel,Alma Martinez,Sal Lopez,Marcel Shihadeh,Theo Bongani Ndyalvane,Satori Shakoor,Ele Bardha,Inder Kumar,Brandon Bautista,Laura Atwood,Debbie Scaletta,David Leach,Gordon Michaels,Brian Boland,Taras Los,Jason Hughley,Sidi Henderson,Meighan Gerachis,Nicole Santini,Axel Harney,Wayne E. Brown,Dante Briggins,Shannon Garnett,Lynch R. Travis,Carmen Gangale,Joe Cipriano,Will Blagrove,Marcelo Bem","Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",155.790452,5.7,7004,151.0,"Action,Adventure,Fantasy","dc comics,vigilante,superhero,based on comic book,revenge,super powers,clark kent,bruce wayne,dc extended universe",United States of America,100.0
